1,MARCA/MODELO,COR/MILHAR,ANO,ART,DATA,RAI RECUPERAÇÃO,DATA,,,,,,,
2768-KQC,GM/CORSA WIND ,CINZA/7515,94/95,155,23/6,15391123,23/06/20,,,,,,,
2788-ONW,HONDA/CG 150 TITAN EX,BRANCA/0146,2015,157,7/5,10262652,08/05/19,,,,,,,
2792-KCJ,VW/GOL GLI 1.8,VERM/9551,96/96,155,19/01,39882932,21)01)2025,,,,,,,
2824-GZS,FORD /FUSION,CINZA/8198,06/07,157,07/03,29023487,09/03/23,,,,,,,
2828-JEK,FIAT/ PALIO ELX FLEX,PRATA/3968,43589,157,9/8,114775103,08/05/19,,,,,,,
2839-KEW,HONDA/CG 125 TITAN KSE,PRATA/3933,43526,155,15/4,11650226,10/08/19,,,,,,,
2856-KDL,HONDA/C100 BIZ,AZUL/4054,98/98,155,17/2,18397867,24/02/21,,,,,,,
2867-HRA,GM/CHEVROLET D1O,BRANC/1535,80/80,155,21/2,34520244,,,,,,,,
2874-NFM,HONDA/CG 150 SPORT,PRETA/5872,44321,155,13/4,19040642,14/04/21,,,,,,,
2883-PQW,RENAULT/SANDERO EXPR 16,BRANCA/2308,16/17,157,5/4,13054023,23/08/19,,,,,,,
2892-JIH,I/HYUNDAI I30 2.0 ,PRETA/6199,43779,157,7/3,9661546,10/12/19,,,,,,,
2911-OHA,HONDA/CG 150 TITAN,PRETA/1677,11/12,155,29/1,34202965,07/02/24,,,,,,,
2912-JFF,FIAT/PALIO EX,AZUL/3586,00/00,155,29/12,,,,,,,,,
2913-QTP,HONDA/CG 160 START,CINZA/4823,19/20,157,09/09,31875763,10/09/23,,,,,,,
2914-NFG,HONDA 150 TITAN ESD,PRATA/3846,05/05,155,20/6,16548739,28/09/20,,,,,,,
2916-PQL,FIAT PALIO FIRE WAY,VERM/7834,15/16,157,27/9,12127418,20/03/19,,,,,,,
2935-PQI,TOYOTA HILUXSW4 SRV4X4,PRATA,15,155,6/11,12622542,28/09/19,,,,,,,
2985-NVV,HONDA/BIZ 125 ES ,PRETA/2428,10/10,155,17/08,31761119,02/09/23,,,,,,,
2A57-RCM,HONDA/ CG 160 FAN,VERM/8549,21/22,155,24/12,39613043,03/01/25,,,,,,,
2A93-JIA,VW/SPACE FOX ,PRATA/8271,09/10,155,24/11,38973222,25/11/24,,,,,,,
2A99-PQZ,HONDA/CG 160 START ,PRETA/1751,19/19,155,23/03,34916980,23/03/24,,,,,,,
2B25-HAK,FIAT/PALIO FIRE,CINZA/9650,44257,155,14/3,18635479,24/03/21,,,,,,,
2B41-SCZ,HONDA/CG 160 TITAN,VERM/2291,24/24,155,03/12,39134555,05/12/24,,,,,,,
2B89-NKX,HONDA/CG 150 FAN,VERM/3804,11/11,155,23/10,27176957,31/10/22,,,,,,,
2C01-OGN,GM/  CORSA CLASSIC,PRATA/0409,11/12,155,23/10,27085713,24/10/22,,,,,,,
2C11-NLT,HONDA/CG150 TITAN,VERM/6303,44448,155,31/3,18870521,01/04/21,,,,,,,
2C32-ONU,HONDA/CG 150 FAN ESDI,VERM/1235,14/14,157,31/12,39568832,01/01/25,,,,,,,
2C77-SCJ,SHINERAY SHI 175CC,BRANCA/4609,24/24,155,,38773461,12/11/24,,,,,,,
2D68-AXZ,HB20 S 1.6 PREMIUM,BRANC/7374,14/14,157,26/10,38488541,26/10/24,,,,,,,
2D80-OOB,FIAT/PALIO FIRE ECON,BRANCA/0826,13/13,155,09/10,32332586,10/10/23,,,,,,,
2E09-ROU,HONDA/ POP 110 ,BRANCA/6211,15/16,155,,36100020,02/06/24,,,,,,,
2E63-NKM,HONDA/ CG 150 TITAN KS,CINZA/4818,08/08,155,04/09,37662235,05/09/24,,,,,,,
2F24-NWB ,GM/ CLASSIC LS,PRATA/0945,44510,155,22/9,21496171,08/10/21,,,,,,,
2F87-JHI,FIAT/IDEA ELX,PRATA/0667,07/08,155,04/11,32789493,09/11/23,,,,,,,
2G07-SCC,HONDA/CG 160 FAN ,PRETA/3716,22/23,155,08/10,38283537,13/10/24,,,,,,,
2G32-OND,HONDA /CG 125 FAN ,PRETA\4700,14/14,155,06/04,41113552,06/04/25,,,,,,,
2G61-JGD,HONDA/CG 150 TITAN,VERME/3525,08/08,155,03/04,29429049,06/03/23,,,,,,,
2H86-KEP,HONDA/ C100 BIZ MAIS,AZUL/3314,04/04,155,07/09,37698297,09/09/24,,,,,,,
2I34-RCD,HONDA/BIZ 125 ,CINZA/8961,20/20,155,14/02,34320878,14/02/24,,,,,,,
2I51-GYY,HONDA/XLR 125 ,PRETA/9522,01/01,155,26/05,30312376,30/05/23,,,,,,,
3014-KCX,HONDA/CG 125 TITAN,VERME/7765,96/97,155,22/11,27533166,25/11/22,,,,,,,
3039-JSB,YAMAHA/ FACTOR YBR125K,AZUL/0601,08/09,157,10/09,26473499,12/09/22,,,,,,,
3047-NKX,HONDA/CG 125 FAN ES,VERM/0558,44478,155,15/8,20757004,18/08/21,,,,,,,
3051-NKE,HONDA/CG150 TITAN,PRETA/3504,08/08,155,05/09,,,,,,,,,
3069-KDC,FORD/F4000 ,LARAN/7997,78/78,155,27/6,15486461,01/07/20,,,,,,,
3071- NEQ,FIAT/PALIO ELX,VERDE/6349,99/00,155,30/11,33648971,03/01/24,,,,,,,
3078-NLT,HONDA/CG 150 FAN ESI,PRATA/5370,10/11,155,13/10,12372995,17/10/19,,,,,,,
3084-OOD,HONDA/CG150 FAN ESDI ,PRETA/3270,14/14,155,11/10,167119221,17/10/19,,,,,,,
3090-BOW,FORD/ESCORT 1.0 HOBBY,PRATA/6014,94/94,155,4/3,34633208,05/03/24,,,,,,,
3098-KBN,VW/PARATI CL,VERM/0132,94/94,155,22/07,37086535,02)08,,,,,,,
3137-NGV,HONDA/CG 150 TITAN KS,CINZA/1086,44415,155,17/6,19945751,20/06/21,,,,,,,
3150-OGR,HONDA/BIZ 125 ES,VERM/8535,12/12,155,6/1,17779131,12/10/20,,,,,,,
3182-NLT,VW / FOX 1.0 ( PLACA ABADIÂNIA),CINZA/5160,2009,157,10/7,11148155,07/01/21,,,,,,,
3185-MVO,HONDA/C100 BIZ ES,VERM/1888,98/98,155,10/06,,,,,,,,,
3210-KBE,PARATI GL,BEGE/2822,87/88,155,3/7,15520510,15/07/19,,,,,,,
3223-HSS,YAMAHA/FAZER YS250,PRETA/0024,07/07,155,23/1,13639227,28/01/20,,,,,,,
3296-KDX,HONDA/CG 125 TITAN KS,VERM,00/00,155,14/2,15969879,28/01/20,,,,,,,
3315-JUJ,GM / CELTA 5 PORTAS,PRETA/1732,03/03,155,7/1,13390009,12/08/20,,,,,,,
3336-NWM,YAMAHA/FAZER 250,ROXA/9956,44176,157,29/1,13673362,08/01/20,,,,,,,
3337-JEM,FIAT PALIO ATRACTIVE,CINZA/6667,12/13,157,2/2,9135775,31/01/20,,,,,,,
3359-JKA,HONDA/CG 125 FAN KS,PRETA/2353,12/13,155,6/4,14611870,02/02/19,,,,,,,
3359-JKA,HONDA/CG 125 FAN KS,PRATA/7449,18/19,155,27/3,14611870,18/04/20,,,,,,,
3361-JNQ,FIAT/PALIO EL ,VERM/6592,97/97,155,01/04,41073644,03/04[,,,,,,,
3373-KBR,VW/PARATI S/,BEGE/7177,85/85,155,25/6,15426781,18/04/20,,,,,,,
3391-JFC,TOYOTA/ COROLLA XEI,PRATA/0368,00/00,157,30/11,13300541,26/06/20,,,,,,,
3407-KCB,FORD/CORCEL LUXO,PRATA/7201,85/86,155,11/07,36743201,12\07\24,,,,,,,
3407-KCE, FIAT UNO ELETRONIC,   VERM/2483,   93/93,155,14/11,32874419,15/11/23,,,,,,,
3420-ITC,FIAT/STRADA ,PRETA/2007,44542,157,28/8,20928213,30/08/21,,,,,,,
3443-KDL,HONDA/ CG 125 TITAN ,AZUL/4119,97/98,155,15/04,30186143,22/05/23,,,,,,,
3449-JJX,HONDA/CG 150 TITAN ES,VERM/6172,43955,157,2/9,16761698,31/12/19,,,,,,,
3451-QTO,HONDA/CG 160 FAN,PRETA/8391,19/20,155,18/1,13830234,13/02/20,,,,,,,
3454-PRK,HYUNDAI/CRETA 16A ATTITU,BRANCA/3909,17/18,157,28/10,16915911,13/02/20,,,,,,,
3472-NFG,HONDA/ CG 125 TITAN ,VERDE/2445,03/04,155,19/04,30218099,24/05/23,,,,,,,
3481-KEJ,HONDA/CG 125 TITAN ES,PRATA/5685,44197,155,29/6,20101823,30/06/21,,,,,,,
3481-NKR,SUNDOWN WEB 100,PRATA/1928,07/08,155,07/03,,,,,,,,,
3505-GUH,FIAT/UNO MILLE EP,VERME/9888,96/96,155,3/7,15524701,29/10/20,,,,,,,
3514-NVP,CG 125 FAN KS ,PRETA/1074,44114,155,16/12,17546640,04/07/20,,,,,,,
3524-NWD,HONDA/CG 125 FAN,PRETA/2028,44479,155,16/3,18664738,21/03/21,,,,,,,
3539-JKO,FIAT/PALIO FIRE ECONOMY,BRANCA/0881,13/14,155,,17017808,06/11/20,,,,,,,
3543-KCW,GM / VECTRA GLS,BRANCA/0370,20/20,157,3/3,14681458,24/04/20,,,,,,,
3561-ONU,HONDA / CG 125 FAN ,VERM/4145,13/14,157,15/01,28247636,16/01/23,,,,,,,
3578-CFR,FORD/BELINA II LDO,VERDE/0701,83/83,155,13/10,21572595,15/10/21,,,,,,,
3587-NKK,SUNDOWN/WEB 100,PRATA/1568,08/08,155,27/05,24913096,27/04/22,,,,,,,
3671-NFF,HONDA/CG 125 TITAN KS,VERM/9053,03/04,155,02/06,25082039,05/06/22,,,,,,,
3708-HPO,GM/CELTA 4P,VERM/7843,02/03,155,24/9,16534629,27/09/22,,,,,,,-
3720-AAO,VW/GOL CL,BRANC/1042,90/90,155,17/1,18019713,27/09/20,,,,,,,
3727-KCF,GM/CHEVROLET C10,VERM/477B,75/75,155,18/7,20398101,23/07/21,,,,,,,
3751-PWG,RENAULT/SANDERO EXPR 16,BRANCA/1425,15/16,157,15/7,11167191,26/01/21,,,,,,,
3764-NGJ,HONDA/ BIZ 125 ,PRATA/9770,06/06,155,14/12,13499300,16/07/19,,,,,,,
3766-FDJ,	I/NISSAN VERSA 16SL FLEX,PRATA/6586,12/13,157,22/4,10096182,17/01/20,,,,,,,
3783-KDZ,	I/TOYOTA HILUX SWDMDA4JD,BRANCA/7440,18/19,157,16/4,10000072,24/04/19,,,,,,,
3789-KER,	PEUGEOT/206 SW16 ESCA FX ,PRETA/8353,43652,157,18/4,10022969,22/04/19,,,,,,,
3808-KDR, HONDA/CG 125 FAN,PRETA/3441,43653,157,28/1,9081932,25/04/19,,,,,,,
3809-JIL,HONDA CIVIC LXL,CINZA/6605,11/11,155,11/08,37232585,11/08/24,,,,,,,
3811-ONM,C100 BIZ,VERDE/8932,43498,155,6/8,11435048,29/01/19,,,,,,,
3820-ATV,FIAT/UNO MILLE,BRANCA/1589,11/12,155,21/06,,,,,,,,,
3822-KAY,FIAT/ UNO ELETRONIC,VERDE/2678,94/94,155,29/10,38814182,15/11/24,,,,,,,
3827-JJR,HONDA / CG 125 TITAN,AZUL/4579,44654,155,7/2,23264147,08/02/22,,,,,,,
3847-HFE,DAFRA/APACHE 150,AMARE/0593,10/11,155,17/12,33370483,26/12/23,,,,,,,
3851-ALS,VW/GOL 1.6 CITY,PRATA/8503,44655,157,14/3,23842049,18/03/22,,,,,,,
3851-KCM,CHEVROLET / CELTA 1.0 LT,BRANCA/0157,12/13,157,9/5,10574184,07/08/19,,,,,,,
3870-LCK,VW/GOL SPECIAL,CINZA/4672,98/99,155,25/04,30070698,15/05/23,,,,,,,
3875-NFL,CHEVROLET/COBALT 1.4 LT,PRATA/6346,13/14,157,27/7,15798208,31/05/19,,,,,,,
3878-CSL,VW/PARATI 1.8,CINZA/9607,99/00,155,22/03,29258201,24/03/23,,,,,,,
3879-NFG,HONDA/ C100 BIZ MAIS,AZUL/7394,44258,155,8/1,19350283,09/05/21,,,,,,,
3891-KDW,CHEVROLET/COBALT 1.4 LT,PRATA/8274,43811,157,15/4,9984787,28/07/20,,,,,,,
3895-PRZ,HONDA/CG 160 FAN,PRETA/0758,18/18,155,3/2,23608677,03/03/22,,,,,,,
3922-JGK,CHEVROLET/ONIX AT ACT ,BRANCA/2352,17/17,157,31/3,14421409,20/02/19,,,,,,,
3922-JGK,CHEVROLET/ONIX 10MT JOYE,CINZA/0708,18/18,157,19/2,9313052,24/04/19,,,,,,,
3924-JDT,VW/GOL 1000 I,VERDE/3559,95/95,155,26/05,30325616,31/05/23,,,,,,,
3926-JEN,VW GOL CL,AZUL/9078,87/87,155,05/04,35120512,05/04/24,,,,,,,
3963-NFR,CHEVROLET/S10 LTZ ,BRANCA/9407,14/14,157,17/11,10237329,06/05/19,,,,,,,
3965-GNF,CITROEN/C3 120A EXCLUSIV,BRANCA/8826,14/15,157,11/1,8999688,20/01/19,,,,,,,
3981-HOY,GM/CORSA WIND,PRATA/2171,98/98,155,10/09,31912420,12/09/23,,,,,,,
3A59-RBM,I/TOYOTA  HILUX (CORUMBA),BRANC/1230,21/21,157,12/2,23312180,12/02/22,,,,,,,
3B81-OGK,HONDA/ CG 125 FAN,PRETA/7286,11/12,157,10/08,37587095,01/09/24,,,,,,,
3C25-NJX,HONDA/CG 150 TITAN ES,PRETA/7978,08/08,157,08/08,37186996,29\08\24,,,,,,,
3C49-PHK,TOYOTA ETIOS,VERM/1213,16/17,157,19/06,30623961,20/06/23,,,,,,,
3C75-PWH,FORD FOCUS SE AT 2.0SB,CINZA/0526,15/15,155,13/12,39294252,14/12/24,,,,,,,
3C98-JGR,GM/VECTRA SEDAN ELEGANCE,PRETA/3166,06/06,155,02/12,33140077,02/12/23,,,,,,,
3E08-BUD,VOLVO/NL 12 360 4X2T 98/98 ,BRANCA,98/98,,27/09,32145520,28/09/23,,,,,,,
3F54-NPP,HONDA /BIZ 125,VERM/6880,11/11,155,15/12,33706241,08/01/24,,,,,,,
3G05-RBM,CITROEN/C3 GLX 14 FLEX,PRATA/0462,08/09,157,13/1,13462244,20/01/19,,,,,,,
3H10-ESE,JTA/SUZUKI EN125 YES SE,PRETA/8666,11/11,155,22/12,22997753,21/01/22,,,,,,,
3H64-RBT,R/LIDER CLA 501,VERDE/0285,20/20,155,08/04,24217480,13/04/22,,,,,,,
3J59-RBV,HONDA/BIZ 125,BRANCA/5804,21/22,155,11/08,26036927,15/08/22,,,,,,,
3J66-HYP,HONDA/CG 125 FAN,PRETA/1876,08/08,155,27/08,37528737,28/08/24,,,,,,,
3J74 - RGD,FIAT/UNO ATTRACTIVE 1.0,BRANCA/3997,20/21,155,23/11,22408329,09/12/21,,,,,,,
3J81- NGP,HANDA/ CG 150 TITAN ESD,PRETA/8803,07/07,155,04/05,24571847,04/05/22,,,,,,,
4003-CGN,HONDA/C100 BIZ,PRETA/7923,00/00,155,4/10,20817164,30/10/21,,,,,,,
4019-KCJ,FIAT / PALIO ELX,VERME/8693,99/99,155,22/11,12828107,15/01/20,,,,,,,
4025-NWF,HONDA/CG 125 FAN,PRETA/2032,44876,155,16/1,22948856,17/01/22,,,,,,,
4032-JEG,PARATI CL ,AZUL/5172,89/89,155,19/11,27460440,20/11/22,,,,,,,
4034-JFT,VW/GOL SPECIAL ,BRANC/6539,00/00,155,17/3,18684588,18/03/21,,,,,,,
4034-KEJ,HONDA/C100 BIZ ES,BRANC/1291,16/17,155,9/12,20692152,13/08/21,,,,,,,
4042-KEO,FIAT PALIO EL,BRANCA/9105,96/96,155,16/8,11631081,25/11/19,,,,,,,
4057-KBT,VW/ KOMBI,BEGE/8875,94/95,155,30/10,38594678,01/11/24,,,,,,,
4085-NWO,FIAT/ MOBI LIKE,VERME/4074,18/19,157,9/1,13531227,21/08/19,,,,,,,
4087-HRY,FIAT/ SIENA ATTRACTIV 1.4,BRANCA/1281,2013,157,25/3,14352863,19/01/20,,,,,,,
4087-HRY,GM/S10 DLX 2.8 D,PRATA,03/03,155,09/10,16675355,09/10/20,,,,,,,
4101-NGA,HONDA CBX 250 TWISTER,PRETA/9995,06/06,155,06/09,24640301,09/09/22,,,,,,,
4111-NVP,JTA/SUZUKI EN 125 YES,PRETA/0637,44511,155,26/7,2262778,27/07/21,,,,,,,
4123-KDT,VW/GOL CL 1.6 MI,AZUL/2204,98/98,155,16/12,22516917,17/12/21,,,,,,,
4167-HJP,GM/CELTA 2P LIFE,PRATA/0580,44447,155,4/2,18928873,06/04/21,,,,,,,
4189-GUY,IMP/GM CORSA GL,VERDE/2789,98/99,155,12/11,32895809,17/11/23,,,,,,,
4191-NKI,HONDA/CG 150 TITAN KS,VERM/7041,08/08,155,21/12,28030681,31/12/22,,,,,,,
4193-ONW,TRAXX/JL50 Q2,VERM/ 1707,14/14,157,26/5,19611835,28/05/21,,,,,,,
4196-KEK,VW/GOL SPECIAL,BRANCA/4322,01/01,155,27/04,41479531,28/04/25,,,,,,,
4234-KCN,FIAT/ UNO IE ,VERM/5926,96,155,29/12,13412895,26/03/20,,,,,,,
4247-NFM,HONDA/CG 150 TITAN KS,VERDE/7088,44320,155,7/1,17782744,10/01/20,,,,,,,
4251-KEZ,FIAT/PALIO ELX FLEX ,PRETA/9869,43559,157,18/2,9303893,0701/21,,,,,,,
4330-CPR,VW/GOL MI,BRANCA/7330,99/99,155,13/1,22908266,14/01/22,,,,,,,
4342-NFF,HONDA/CG 125 TITAN,VERM/7797,03/04,155,03/01,33636899,03/01/24,,,,,,,
4362-OGU,FIAT/PALIO FIRE ,PRATA/3186,07/07,157,29/2,14053479,18/02/19,,,,,,,
4373-KPX,FIAT/PALIO FIRE ECONOMY,VERDE/6416,43748,155,30/7,11726545,01/03/20,,,,,,,
4379-KEY,VW/GOL ESPECIAL,VERME/8479,02/03,155,07/09,26395772,,,,,,,,
4398-OMX,FIAT/PALIO FIRE ECONOMY,PRETA/2441,44114,171,27/10,16899552,29/08/19,,,,,,,
4401-JIT,FIAT/PALIO SPORTING 1.6,BRANCA/8627,14/15,157,8/10,12287980,28/10/20,,,,,,,
4401-KDO,VW/SAVEIRO CL 1.6,BRANCA/4829,98/99,155,25/12,27992151,28/12/22,,,,,,,
4402-KBU,FIAT/UNO S,VERDE/7942,90/91,155,21/10,32616104,29/10/23,,,,,,,
4407-NWL,JTA/SUZUKI EN125 YES,PRETA1107,10/11,155,9/5,16250988,10/10/19,,,,,,,
4428-KES,HONDA/CG125 TITAN ES,VERME/4374,44229,155,8/1,17907589,17/01/21,,,,,,,
4447-OMM,FIAT/PALIO WK TREKK 1.6,PRATA/5252,12/13,157,25/1,13641956,29/01/20,,,,,,,
4455-OGO,FIAT/PREMIO CSL,CINZA/9261,87/87,157,8/12,13085201,29/01/20,,,,,,,
4461-OGK,FIAT/PUNTO ATTRACTIVE,PRATA/7174,15/16,157,6/10,12254559,09/12/19,,,,,,,
4473-NFN,HONDA CG 150 TITAN,VERM/3177,05/05,155,27/02,7663394,2203/2025,,,,,,,
4503-HPK,FIAT/SIENA ELX FLEX ,BRANCA/7513,06/06,157,12/2,13837443,07/10/19,,,,,,,
4523-KEW,CBX TWISTER  250 ,PRETA/7413,43863,155,8/12,18719801,20/03/21,,,,,,,
4524-ERW,FIAT/STRADA WORKING,BRANCA/9440,43862,155,11/9,16772971,13/02/20,,,,,,,
4541-KEC,FIAT/UNO ELETRONIC ,AZUL/8447,95/95,155,1/7,15516871,17/10/20,,,,,,,
4581-BMV,FIAT/UNO MILLE EX ,BRANCA/7287,00/00,157,20/6,15384750,22/06/20,,,,,,,
4628-MVS,FIAT/UNO MILLE SMART,VERDE/0001,00/01,155,23/2,13972884,22/06/20,,,,,,,
4651-JYF,FIAT/UNO S,VERM/1196,88,155,8/5,14858285,24/02/20,,,,,,,
4655-OGQ,FORD KA SE 1.0,PRETO,15/15,171,,14959069,09/05/20,,,,,,,
4657-JFY,GM/CORSA WIND,BRANCA/8651,00/01,155,14/06,25363452,27/06/22,,,,,,,
4676-JVB,FORD/ DEL REY BELINA 1.8,CINZA/4517,90/90,155,19/10,12414119,17/05/20,,,,,,,
4676-KEE (Silvania),HONDA/ BIZ 100,VERM/0815,00/00,155,22/08,31583802,30/08/23,,,,,,,
4728-NGJ,RENALT/MEGANE ESD,PRETO/1878,44383,155,23/4,19179962,26/04/21,,,,,,,
4764-JIX,I/HAFEI RUIYI  PICKUP L,BRANCA,10/11,155,31/8,15442028,20/10/19,,,,,,,
4769-PQY,FORD/ ESCORT 1.8 GHIA,PRATA/7555,94/94,155,2/11,12820089,27/06/20,,,,,,,
4790-NGQ,FORD/ F350 P,BRANCA/4327,2015,155,5/12,12984924,22/11/19,,,,,,,
4800-JJQ,FORD/ FIESTA 1.6,PRATA/2710,11/12,157,20/3,14305393,05/12/19,,,,,,,
4813-MVZ,M.BENZ/L1620 ,AZUL/6564,05/05,157,13/10,,,,,,,,,
4827-MZP,FORD/CORCEL LUXO ,VERM/5562,75/75,155,6/7,15566886,20/03/20,,,,,,,
4835-KDQ,HONDA/CG 125 TITAN,VERM/1245,97/98,155,17/3,18748343,23/03/21,,,,,,,
4838-JFY,FIAT/ PALIO ELX ,CINZA/2011,01/01,157,02/10,32250275,05/10/23,,,,,,,
4862-KDA,VW/GOL MI,BRANC/2159,97/98,155,30/01,28449494,30/01/23,,,,,,,
4889-KDT,GM/CORSA MILENIUM ,PRATA/1263,99/00,155,20/03,29181307,20/03/23,,,,,,,
4918-NFO,FORD/F-350 G,BRANCA/8826,43862,155,23/10,16843776,23/10/20,,,,,,,
4931-JKA,HONDA/CG 150 FAN (MOTO TAXI),VERDE/8633,44907,155,10/1,22874536,12/01/22,,,,,,,
4943-KDI,HONDA/CG 125 TODAY,PRETA/1845,91/91,155,20/02,28835568,25/02/23,,,,,,,
4953-PAE,FORD/F350 G ,PRATA/1126,43653,155,14/7,11145150,23/10/20,,,,,,,
4965-MBS,FORD/FIESTA GL CLASS,PRATA/1169,00/00,157,13/1,9403105,15/07/19,,,,,,,
4982 OGW,HONDA/CG 125 FAN,VERM/2186,44542,155,10/9,21130131,11/09/21,,,,,,,
4B24-RCF,YAMAHA/YBR 125I FACTOR ED,VERM/8384,21/22,155,19/1,23040229,24/01/22,,,,,,,
4B37-NJI,HONDA/BIZ 125 ES,VERM/4280,08/08,155,22/01,34018811,27/01/23,,,,,,,
4D40-JIF,HONDA CB 600 HORNET,AZUL/0518,11/11,155,19/02,40678428,10/03/25,,,,,,,
4D56-EUT,FORD/FIESTA FLEX,PRETA/3451,44511,155,12/8,20686276,13/08/21,,,,,,,
4D56-KEH,HONDA/ BIZ C 100,VERM/9587,98/99,155,12/09,31929839,13/09/23,,,,,,,
4E66-QNT,RENAULT/SANDERO/AUTH,PRATA/2178,18/19,157,15/10,,17/10/24,,,,,,,
4E79-NLD,FIAT/SIENA FIRE,PRATA/5952,11/12,155,18/05,30452818,09/06/23,,,,,,,
4E80-GWY,HONDA/CG 125 TITAN ES,PRATA/6492,02/02,155,06/10,,08/10/22,,,,,,,
4E89-PBL,FIAT/ARGO 1.0,VERM/9200,18/18,157,13/05,30098988,16/05/23,,,,,,,
4F01-RCE,CG/160 TITAN,CINZA/1559,21/22,155,24/11,39011293,27/11/24,,,,,,,
4F29-PQV,VW/UP TAKE MCV,VERM/3078,16/17,157,30/12,22751900,03/01/22,,,,,,,
4G57-RBW,HONDA/CG 160 FAN,VERM/9388,20/21,155,28/3,18853421,31/03/21,,,,,,,
4H24-PAV,CHEVROLET/ONIX,BRANCO/9071,16/17,157,6/1,22868586,11/01/22,,,,,,,
4H39-JYT,SUZUKI 125,PRETA/9311,44383,155,25/8,20855589,25/08/21,,,,,,,
4H61-NKT,YAMAHA XTZ 125E,PRETA/9690,8/8,155,11/09,26474404,11/09/22,,,,,,,
4H98,GM CORSA WIND ,BRANCA 5353,101,155,2809,38046669,28-09,,,,,,,
4I23-NPR,TOYOTA/COROLLA XLI,PRATA/8997,10/11,155,08/12,39202437,09/12/24,,,,,,,
4I58-KEF,VW/SAVEIRO SUMMER,BRANCA/2755,00/01,155,14/05,30296921,29/05/23,,,,,,,
4J22-SCW,HONDA /CG 160 TITAN ,VERME/6974,23/23,157,12/12,33386892,15/12/23,,,,,,,
4J59 - PAC,FORD/KA SEL 1.5 SD,BRANCA/9600,14/15,157,6/12,22431643,11/12/21,,,,,,,
4J93-NGS,HONDA/ CG 150 TITAN KS,AZUL/1767,07/07,168,17/09,17/09,37856269,,,,,,,
5011- OGX,HONDA/ POP 100,VERM/8911,11/12,155,03/05,29927115,05/05/23,,,,,,,
5080-OGO,CHEVROLET AGILE LT,PRATA,11/12,157,11/6,11378937,02/08/19,,,,,,,
5131-KET,VW/GOL/SPECIAL,CINZA/3338,44622,155,5/2,23211104,05/02/22,,,,,,,
5135-PQQ,HONDA/CG 160 TITAN EX,VERM/ 4959,15/16,155,19/07,36876788,20/07/24,,,,,,,
5142-ONL,FORD/KA SE 1.0 HA B,BRANCA/4436,17/18,157,5/10,12270134,06/09/19,,,,,,,
5153-BMN,FORD/KA SE1.0,PRATA/1466,16/16,157,5/3,14109819,09/10/19,,,,,,,
5156-NKV,HONDA/CG 150 TITAN MIXESD,PRETA/3012,09/09,155,12/06,25202433,16/06/22,,,,,,,
5260-AFR,GM / CORSA WIND,BRANCA/0712,96/97,155,27/10,12508644,05/03/20,,,,,,,
5284-JJP,HONDA CG 125,VERDE/5557,02/02,155,12/02,5487937,13/02/18,,,,,,,
5285-ONO,HONDA/CG 150 TITAN,PRETA/8693,13/14,155,22/11,22223160,26/11/21,,,,,,,
5301-PQK ,VW/24.280 CRM 6X2,BRANC/7594,15/15,155,11/01,2995987,16/01/23,,,,,,,
5302-NWO,GM COBALT LTZ 1.4,PRATA/1602,13/14,157,9/5,14931579,28/10/19,,,,,,,
5309-KBD,GM/ CELTA 2 P LIFE,VERM/6202,07,157,2/11,12623141,15/05/20,,,,,,,
5329-PRL,HONDA/CG 160 START,PRETA/1663,19/19,155,13/10,27010226,19/10/22,,,,,,,
5337-NKM,GM/ CORSA HATCH,PRETA/2554,43527,157,13/11,LOCALIZADO NO DF,06/11/19,,,,,,,
5350-JKJ,HYUNDAI/HB20S 1.0M,PRATA/1566,13/14,155,13/11,27372796,14/11/22,,,,,,,
5358 -JIS,VW/GOL 1.0,PRETA/2344,11/12,155,20/10,27016879,20/10/22,,,,,,,
5393-JJN,HONDA CG 125 TITAN (PIRENÓPOLIS),VERM/9556,98/98,155,10/04,35246299,12/04/24,,,,,,,
5417-NGW,YAMAHA/YBR 125K ,VERM/6304,44780,155,17/1,23125423,30/01/22,,,,,,,
5417-NGW,YAMAHA/YBR 125K ,VERM/6304,07/08,157,17/1,23125423,30/01/22,,,,,,,
5430-MVW,FIAT / PALIO 1.6,BRANC/2636,99/00,155,09/04,29511018,10/04/23,,,,,,,
5434-HFG,GM/ÁGILE LT,PRATA/2812,43810,157,26/6,11378937,02/08/19,,,,,,,
5435-KEM,HONDA/CG 125 TITAN ES,VERME/5836,44197,155,20/7,20417417,24/07/21,,,,,,,
5471-AJO,VW/ GOL 16V PLUS,VERM/9830,00/01,157,17/2,23449443,20/02/22,,,,,,,
5488-JIV,FORD/KA FLEX ,VERM,11/12,157,5/9,11833860,06/02/19,,,,,,,
5488-JIV,GM/ÁGILE LT,PRATA/2812,43810,157,26/6,11378937,02/08/19,,,,,,,
5511-KEW,GM/CORSA CLASSIC LS,CINZA/5310,13/13,157,16/1,9050222,02/08/19,,,,,,,
5524-NGL,GM/CLASSIC LIFE,PRATA/2123,06/07,155,12/10,32982825,22/11/23,,,,,,,
5556-OMX,TOYOTA/ETIOS HB,VERM/5240,14/14,155,26/11,22218015,26/11/21,,,,,,,
5568-LZC,HONDA CBX 200 STRADA,AZUL/6942,97/97,155,14/4,19103829,20/04/21,,,,,,,
